ref,type,minInWorld,baseWeapon,baseMods,supportedAttachments,lootTags,tier,pingCommsAction,fakeAmmoIcon,icon,pickupModel,skinOverride,attachSound,pickupSound_1p,pickupSound_3p,carrySound,pickupString,desc,countPerDrop,inventorySlotCount,netInt,passive,unused1,unused2,scrapValue,droppodRotate,isDynamic,
highcal_mag_l1,attachment,0.000000,,,,,1,PING_ATTACHMENT_MAG_HIGHCAL_1,,rui/pilot_loadout/mods/heavy_mag,mdl/weapons_r5/loot/_master/w_loot_wep_mods_mag_v2b.rmdl,0,survival_loot_attach_extended_ammo,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
highcal_mag_l2,attachment,0.000000,,,,,2,PING_ATTACHMENT_MAG_HIGHCAL_2,,rui/pilot_loadout/mods/heavy_mag,mdl/weapons_r5/loot/_master/w_loot_wep_mods_mag_v2b.rmdl,0,survival_loot_attach_extended_ammo,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
highcal_mag_l3,attachment,0.000000,,,,,3,PING_ATTACHMENT_MAG_HIGHCAL_3,,rui/pilot_loadout/mods/heavy_mag,mdl/weapons_r5/loot/_master/w_loot_wep_mods_mag_v2b.rmdl,0,survival_loot_attach_extended_ammo,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
shotgun_bolt_l1,attachment,0.000000,,,,,1,PING_ATTACHMENT_SHOTGUN_BOLT_1,,rui/pilot_loadout/mods/shotgun_mag,mdl/weapons_r5/loot/_master/w_loot_wep_mods_mag_v3b.rmdl,0,survival_loot_attach_extended_ammo,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
shotgun_bolt_l2,attachment,0.000000,,,,,2,PING_ATTACHMENT_SHOTGUN_BOLT_2,,rui/pilot_loadout/mods/shotgun_mag,mdl/weapons_r5/loot/_master/w_loot_wep_mods_mag_v3b.rmdl,0,survival_loot_attach_extended_ammo,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
shotgun_bolt_l3,attachment,0.000000,,,,,3,PING_ATTACHMENT_SHOTGUN_BOLT_3,,rui/pilot_loadout/mods/shotgun_mag,mdl/weapons_r5/loot/_master/w_loot_wep_mods_mag_v3b.rmdl,0,survival_loot_attach_extended_ammo,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
stock_tactical_l1,attachment,0.000000,,,,,1,PING_ATTACHMENT_STOCK_STANDARD_1,,rui/pilot_loadout/mods/tactical_stock,mdl/weapons_r5/loot/w_loot_wep_iso_stock_folded_regular.rmdl,0,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
stock_tactical_l2,attachment,0.000000,,,,,2,PING_ATTACHMENT_STOCK_STANDARD_2,,rui/pilot_loadout/mods/tactical_stock,mdl/weapons_r5/loot/w_loot_wep_iso_stock_folded_regular.rmdl,0,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
stock_tactical_l3,attachment,0.000000,,,,,3,PING_ATTACHMENT_STOCK_STANDARD_3,,rui/pilot_loadout/mods/tactical_stock,mdl/weapons_r5/loot/w_loot_wep_iso_stock_folded_regular.rmdl,0,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
stock_sniper_l1,attachment,0.000000,,,,,1,PING_ATTACHMENT_STOCK_SNIPER_1,,rui/pilot_loadout/mods/sniper_stock,mdl/weapons_r5/loot/w_loot_wep_iso_stock_folded_sniper.rmdl,0,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
stock_sniper_l2,attachment,0.000000,,,,,2,PING_ATTACHMENT_STOCK_SNIPER_2,,rui/pilot_loadout/mods/sniper_stock,mdl/weapons_r5/loot/w_loot_wep_iso_stock_folded_sniper.rmdl,0,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
stock_sniper_l3,attachment,0.000000,,,,,3,PING_ATTACHMENT_STOCK_SNIPER_3,,rui/pilot_loadout/mods/sniper_stock,mdl/weapons_r5/loot/w_loot_wep_iso_stock_folded_sniper.rmdl,0,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,5,1,0,
hopup_turbocharger,attachment,0.000000,,,,,4,PING_ATTACHMENT_HOPUP_TURBOCHARGER,,rui/pilot_loadout/mods/hopup_turbocharger,mdl/weapons_r5/loot/_master/w_loot_wep_mods_chip.rmdl,4,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,10,0,0,
hopup_selectfire,attachment,0.000000,,,,,3,PING_ATTACHMENT_HOPUP_SELECTFIRE,,rui/pilot_loadout/mods/hopup_autofire,mdl/weapons_r5/loot/_master/w_loot_wep_mods_chip.rmdl,3,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,10,0,0,
hopup_energy_choke,attachment,0.000000,,,,,3,PING_ATTACHMENT_HOPUP_ENERGY_CHOKE,,rui/pilot_loadout/mods/hopup_em_choke,mdl/weapons_r5/loot/_master/w_loot_wep_mods_chip.rmdl,3,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,10,0,0,
hopup_headshot_dmg,attachment,0.000000,,,,,3,PING_ATTACHMENT_HOPUP_HEADSHOT_DMG,,rui/pilot_loadout/mods/hopup_skullpiercer,mdl/weapons_r5/loot/_master/w_loot_wep_mods_chip.rmdl,3,survival_loot_attach_stabilizer,survival_loot_pickup_attachments,survival_loot_pickup_3p_attachments,,,,1,1,,,0,0,10,0,0,
blank,blank,0.000000,,,,,0,,,,,0,,,,,,,1,1,,,0,0,0,0,0,
